종목,최근종가,최저가,괴리율(%),횡보율(%),시가총액,섹터
CJ씨푸드,2900,2850,1.75,1.04,104199897088.0,Consumer Defensive
DH오토넥스,1984,1984,0.0,0.0,0.0,
DKME,515,515,0.0,0.0,122045726720.0,Industrials
DSR,3725,3635,2.48,2.69,59760001024.0,Consumer Cyclical
DYP,4045,3995,1.25,2.97,50925330432.0,Consumer Cyclical
IHQ,10760,10760,0.0,0.0,0.0,
JW중외제약우,28000,27200,2.94,3.31,680934768640.0,Healthcare
KCC글라스,29400,28900,1.73,2.72,469530181632.0,Industrials
KC그린홀딩스,756,738,2.44,0.0,17334398976.0,Industrials
KC코트렐,918,904,1.55,0.0,50391314432.0,Industrials
KG모빌리티,3315,3225,2.79,2.72,672896909312.0,Consumer Cyclical
KH 필룩스,5310,5310,0.0,0.0,0.0,
LG생활건강,293000,290000,1.03,2.21,4534510288896.0,Consumer Defensive
LX하우시스우,17430,16970,2.71,3.04,280051548160.0,Industrials
SG글로벌,1621,1591,1.89,3.63,72796880896.0,Consumer Cyclical
SH에너지화학,434,422,2.84,1.6,47159308288.0,Basic Materials
국보,2110,2110,0.0,0.0,0.0,
극동유화,3355,3295,1.82,1.65,112792494080.0,Basic Materials
금양,9900,9900,0.0,0.0,632041766912.0,Basic Materials
남선알미늄,1143,1125,1.6,2.98,147408224256.0,Industrials
남선알미우,12600,12520,0.64,3.04,147549782016.0,Industrials
남양유업,56700,55700,1.8,2.65,400600662016.0,Consumer Defensive
대동전자,15040,15040,0.0,0.0,0.0,
대상홀딩스,9520,9250,2.92,3.07,344742985728.0,Consumer Defensive
대상홀딩스우,12700,12550,1.2,4.69,350290968576.0,Consumer Defensive
대신밸류리츠,4325,4275,1.17,1.74,258249605120.0,Real Estate
대원화성,861,841,2.38,2.89,35134775296.0,Basic Materials
대현,1817,1800,0.94,1.16,80549502976.0,Consumer Cyclical
덕성,5510,5380,2.42,3.83,86476873728.0,Consumer Cyclical
덕성우,7480,7470,0.13,4.23,86320332800.0,Consumer Cyclical
동남합성,31950,31350,1.91,1.9,109579616256.0,Basic Materials
동성제약,973,973,0.0,0.0,23749373952.0,Healthcare
동원시스템즈,29250,28450,2.81,2.94,852634566656.0,Consumer Cyclical
디와이덕양,2320,2305,0.65,3.44,75232034816.0,Consumer Cyclical
마니커,835,823,1.46,1.56,53087002624.0,Consumer Defensive
메타랩스,1297,1271,2.05,2.11,32372080640.0,Consumer Cyclical
모나리자,2475,2430,1.85,1.41,90670784512.0,Consumer Defensive
무림P&P,2605,2595,0.39,1.34,162457698304.0,Basic Materials
무림페이퍼,2050,2010,1.99,0.98,85299068928.0,Basic Materials
미원에스씨,139700,137600,1.53,4.14,674027077632.0,Basic Materials
미원홀딩스,71000,70900,0.14,1.82,164396957696.0,Basic Materials
범양건영,1935,1935,0.0,0.0,53169541120.0,Industrials
부산주공,486,486,0.0,0.0,0.0,
빙그레,70700,69200,2.17,1.83,623346909184.0,Consumer Defensive
삼부토건,347,347,0.0,0.0,79699656704.0,Industrials
삼성FN리츠,4325,4220,2.49,1.85,393791242240.0,Real Estate
삼양패키징,13260,12950,2.39,3.25,202675814400.0,Consumer Cyclical
상신브레이크,2815,2770,1.62,2.82,54596046848.0,Consumer Cyclical
새론오토모티브,3150,3100,1.61,1.43,60480000000.0,Consumer Cyclical
서원,1184,1155,2.51,1.78,56257400832.0,Industrials
선도전기,3000,3000,0.0,0.0,0.0,
세아제강,134700,130800,2.98,3.47,376893472768.0,Basic Materials
세아제강지주,180800,176000,2.73,4.86,729303023616.0,Basic Materials
세원이앤씨,1270,1270,0.0,0.0,0.0,
송원산업,10290,10110,1.78,2.54,246240002048.0,Basic Materials
스타에스엠리츠,2035,2035,0.0,0.0,15927578624.0,Real Estate
신일전자,1334,1316,1.37,2.49,91915001856.0,Consumer Cyclical
신한글로벌액티브리츠,1445,1407,2.7,2.94,62825275392.0,Real Estate
신흥,13800,13790,0.07,0.79,130389303296.0,Healthcare
쌍방울,2690,2690,0.0,0.0,0.0,
써니전자,1630,1602,1.75,1.79,58753511424.0,Technology
씨티알모빌리티,5070,4955,2.32,4.1,43738800128.0,Consumer Cyclical
에이리츠,3130,3130,0.0,0.0,0.0,
오뚜기,392500,382000,2.75,2.94,1351656669184.0,Consumer Defensive
오리온,107600,105500,1.99,2.04,4249346113536.0,Consumer Defensive
웰바이오텍,545,545,0.0,0.0,49552924672.0,
유니드비티플러스,3925,3815,2.88,1.15,,
유니온,4545,4500,1.0,2.74,71032782848.0,Basic Materials
이건산업,4910,4865,0.92,1.02,50252926976.0,Basic Materials
이엔플러스,511,511,0.0,0.0,37494472704.0,Industrials
이지스레지던스리츠,3990,3940,1.27,1.76,147096141824.0,Real Estate
이지스밸류플러스리츠,4100,4080,0.49,4.6,213936357376.0,Real Estate
조흥,153800,150400,2.26,3.35,92279996416.0,Consumer Defensive
진양화학,1996,1939,2.94,2.88,42251599872.0,Basic Materials
참엔지니어링,1267,1265,0.16,3.06,21433663488.0,Technology
카프로,3660,3660,0.0,0.0,0.0,
케이비아이동국실업,482,479,0.63,1.03,53754519552.0,Consumer Cyclical
코람코라이프인프라리츠,4345,4260,2.0,3.12,421948948480.0,Real Estate
태양금속우,3130,3090,1.29,3.2,41711316992.0,Consumer Cyclical
평화산업,1000,1000,0.0,1.59,54902300672.0,Consumer Cyclical
평화홀딩스,4035,4035,0.0,3.18,57556000768.0,Industrials
하이트진로,19240,18740,2.67,0.94,1320814510080.0,Consumer Defensive
한국종합기술,4860,4860,0.0,2.44,50562953216.0,Industrials
한솔홈데코,698,685,1.9,2.89,56234508288.0,Consumer Cyclical
한익스프레스,3230,3230,0.0,3.19,38114000896.0,Industrials
한창,1254,1254,0.0,0.0,0.0,
한창제지,641,640,0.16,0.78,38246866944.0,Basic Materials
한화갤러리아우,2235,2185,2.29,2.71,,Consumer Cyclical
호전실업,7020,6870,2.18,2.15,62327279616.0,Consumer Cyclical
효성화학,38900,38900,0.0,0.0,147021774848.0,Basic Materials
